domanda,rispostaA,rispostaB,rispostaC,corretta
La fase istruttoria nel procedimento amministrativo:,. Consiste nell’insieme di attività poste in essere dall’autorità procedente al fine di acquisire gli elementi necessari per la decisione,". È l’insieme delle operazioni successive all’atto finale, necessarie affinché questo divenga efficace",. Consiste nell’adozione dell’atto finale,A
"In mancanza di diverse disposizioni di legge o di regolamento, il termine per la conclusione del procedimento amministrativo è:",. 180 giorni,. 90 giorni,. 30 giorni,C
Il fondamento giuridico del diritto di accesso va individuato nel principio di:,. Differenziazione,. Trasparenza,. Decentramento,B
Per “diritto di accesso” si intende il diritto degli interessati di:,. Prendere visione ed estrarre copia dei documenti amministrativi,. Esperire un rimedio amministrativo,. Ricorrere in giudizio,A
Al fine di esercitare il diritto di accesso agli atti occorre la titolarità di un interesse:,". Eventuale, indiretto, astratto",. Futuro e incerto,". Attuale, diretto, concreto",C
Ai sensi della legge 241/90 oggetto del diritto di accesso sono:,. Solo gli atti finali del procedimento amministrativo,. Anche atti non più o non ancora esistenti,. Anche gli atti interni al procedimento amministrativo,C
Sono esclusi dal diritto di accesso:,. Tutti i tipi di provvedimenti amministrativi,. Gli atti detenuti da una PA e concernenti attività di pubblico interesse,. Di norma i documenti coperti da segreto di Stato,C
"L’interessato, al fine di esaminare o estrarre copia dei documenti amministrativi:",. Non deve formulare alcuna richiesta,. Deve formulare una richiesta motivata,. Deve formulare una richiesta generica,B
"Nel caso di accesso a dati sensibili e giudiziari, il diritto di accesso è consentito:",. Mai,. Sempre,. In base alla valutazione relativa all’indispensabilità dell’accesso ai fini della tutela della posizione del richiedente,C
Per dati sensibilissimi si intendono i:,. Dati di natura giudiziaria,. Dati anagrafici,. Dati idonei a rivelare lo stato di salute o la vita sessuale,C
"Decorsi 30 giorni dalla richiesta di accesso, questa si deve intendere:",. Ancora in fase di valutazione,. Accolta,. Respinta,C
LA PA può differire l’esercizio del diritto di accesso:,. No,". Sì, motivando il differimento",". Sì, senza fornire spiegazioni",B
L’illecito penale è:,. Un fatto naturale contrario all’ordinamento giuridico,. Un fatto umano contrario all’ordinamento giuridico,. Un fatto umano contrario all’ordinamento morale,B
Il principio di legalità in diritto penale prevede che:,. La norma deve prevedere solo il precetto,. La norma deve prevedere sia la sanzione che il precetto,. La norma deve stabilire solo il tipo di sanzione,B
Per il principio di tassatività in diritto penale:,. La norma può essere redatta anche non in maniera chiara purché comprensibile,. La norma deve essere stabilita con legge statale,. La norma deve essere redatta in maniera chiara e non deve dare adito a dubbi,C
Il principio di tipicità in diritto penale richiede che:,. La fattispecie concreta coincida perfettamente con la fattispecie legalizzata,. La norma non sia retroattiva,. La norma contenga solo elementi normativi,A
Per il principio di offensività in diritto penale:,". Se l'azione umana non realizza un evento di danno, non è punibile",". L'azione umana può essere punita pur se rimane a livello intenzionale, senza realizzare un danno o un pericolo",. L'azione umana deve realizzare una lesione del bene giuridico tutelato o quanto meno metterlo in pericolo,C
L’ammenda è:,. Una sanzione penale pecuniaria,. Un risarcimento del danno civile,. Un ammonimento,A
Il reato si distingue in:,". Delitti, contravvenzioni ed illeciti amministrativi",". Delitti, illeciti amministrativi e multe",. Delitti e contravvenzioni,C
L'illecito civile ha come conseguenza sanzionatoria:,. Il pagamento di una ammenda,. Il pagamento di una somma di denaro di tipo risarcitorio/riparatorio,. Il pagamento di una multa,B
L'illecito disciplinare è:,. Un illecito amministrativo,. Un illecito civile,. Un illecito penale,A
L'oblazione estingue:,Il CSM,L’ANAC,L’ENAV,B
Il “whistleblowing” è:,Un sistema di comunicazione tra i Responsabili della Prevenzione della Corruzione,Un sistema informatico per la rilevazione dei reati di corruzione,Un istituto di prevenzione della corruzione mutuato dall’esperienza dei Paesi anglosassoni,C
Che tipo di variazione di pena causano le circostanze ad effetto speciale?,superiore ad un terzo,di un terzo,di un quarto,A
Qual è il regime di imputazione delle circostanze attenuanti?,oggettivo,soggettivo,misto,A
Che tipo di vincolo lega i concorrenti nel concorso di persone?,occasionale,stabile,costante,A
Con quante condotte si realizza il concorso formale di reati?,tre condotte,due condotte,con una sola condotta,C
"Sul piano sanzionatorio, quale regola si applica al reato continuato?",cumulo materiale,cumulo giuridico,entrambi,B
"Nelle ipotesi di aberratio ictus, il titolo di imputazione soggettiva del",preterintenzionale,colposo,doloso &lt;-- Risposta,C
"Nell’uso legittimo delle armi, la proporzione è un requisito:",implicitamente deducibile dalla disposizione &lt;-- Risposta,Non richiesto dalla fattispecie,ritenuto necessario da parte della dottrina minoritaria,A
È una scriminante propria:,Uso legittimo delle armi &lt;-- Risposta,Legittima difesa,Adempimento di un dovere,A
L’errore su legge extrapenale:,Ha rilevanza laddove si traduca in un errore sul fatto tipico &lt;-- Risposta,Ha rilevanza in quanto la pena è diminuita di un terzo,Non ha alcuna rilevanza in quanto è un errore sul precetto,A
Quale elemento fanno venire meno le cause di giustificazione?,Colpevolezza,Tipicità,Antigiuridicità &lt;-- Risposta,C
La scriminante del consenso dell’avente diritto può applicarsi rispetto,Diritti indisponibili,Diritti disponibili &lt;-- Risposta,Diritti che coinvolgano interessi statali,B
"L’agente provocatore, secondo la giurisprudenza, non risponde in",Manca il dolo di partecipazione nel reato,Il fatto non è tipico,Scriminato ai sensi dell&#39;art. 51 c.p. &lt;-- Risposta,C
Nella legittima difesa è richiesto che il pericolo sia:,Dimostrato,Probabile,Attuale &lt;-- Risposta,C
In caso di esecuzione di un ordine del superiore manifestamente,Risponde del reato solo se è previsto dalla legge come delitto,Non risponde del reato commesso se ha notiziato i suoi superiori per iscritto,Risponde del reato commesso &lt;-- Risposta,C
Si può fare ricorso allo stato di necessità in caso di:,Pericolo attuale di grave danno alla persona &lt;-- Risposta,Pericolo attuale di un offesa ingiusta,"Pericolo attuale di un offesa a beni personali o patrimoniali, se di elevato valore",A
L’uso legittimo delle armi rappresenta:,Una causa soggettiva di esclusione del reato,Una causa di giustificazione o scriminante,Una fattispecie di reato,
Sono pubblici ufficiali,"Coloro i quali esercitano una pubblica funzione legislativa, giudiziaria o amministrativa.",Tutti gli appartenenti alla P.A.,Solamente coloro che esercitano una pubblica funzione amministrativa,
Un senatore della Repubblica,è incaricato di pubblico servizio,non è né Pubblico Ufficiale né Incaricato di Pubblico Servizio,è pubblico ufficiale nell’esercizio della sua funzione.,
L’elemento soggettivo nel peculato è previsto:,indifferentemente sia nella forma dolosa che in quella colposa,solo nella forma dolosa.,solo nella forma colposa.,
L’usciere di un ospedale pubblico è:,pubblico ufficiale,esercente un servizio di pubblica necessità,non riveste alcuna delle predette qualifiche,
Un Agente della Polizia di Stato in servizio di o.p. è:,pubblico ufficiale,ufficiale di pubblica sicurezza,esercente un servizio di pubblica necessità,
"Il funzionario dell’Ufficio Urbanistico che, nottetempo, accede all’Ufficio Cassa e lo svaligia compie:",peculato d’uso,furto,peculato,
L’agente di Polizia che usa episodicamente l’auto di servizio per fini privati commette:,peculato d’uso,appropriazione indebita,danneggiamento,
Il peculato è un:,reato comune,reato contro il patrimonio,reato proprio,
L’errore nel peculato mediante profitto dell’errore altrui deve:,essere spontaneo nella vittima,essere provocato dal reo e determinare un danno di rilevante gravità,essere provocato intenzionalmente dal reo,
Il tentativo di peculato è:,. nell’esercizio del potere o delle funzioni (),. nell’omissione di un atto legittimo,. in un atto illegittimo,A
Domanda 161,. generale,. indifferibile (),. prefettizio,B
Domanda 162,. Urbanistica,. Igiene pubblica,. Ordine e sicurezza pubblica (),C
Domanda 163,. necessariamente igiene e sanità,. necessariamente ordine e sicurezza pubblica,. qualsiasi ambito (),C
Domanda 164,. rispondendo entro sessanta giorni,. avvertendo il superiore gerarchico,. rispondendo entro trenta giorni (),C
Domanda 165,. non presuppone alcuna sollecitazione del privato (),. presuppone un’istanza,. presuppone una diffida,A
Domanda 166,. è ammissibile,. è inammissibile (),. è ammissibile per il rifiuto e inammissibile per l'omissione,B
Domanda 167,. un reato proprio (),. un reato contravvenzionale,. un reato comune,A
Domanda 168,. ingiusto e patrimoniale (),. patrimoniale,. ingiusto,A
Domanda 169,. il destinare denaro o altra cosa mobile altrui ad un uso diverso da quello normativamente previsto senza margini di discrezionalità (),. violenza o minaccia,. appropriazione di fondi pubblici,A
Domanda 170,. contro la personalità dello Stato,. sussidiario (),. contro la morale,B
,. essere compiuto in presenza di almeno una persona estranea al reato,. essere compiuto in presenza di più persone (),. essere commesso in presenza di almeno due pubblici ufficiali,B
,. un reato contenuto in una legge speciale,. un reato comune (),. un reato proprio,B
,. se il pubblico ufficiale ha compiuto un atto invasivo della libertà personale,. se il pubblico ufficiale non appartiene alle forze di polizia,. costituisce reazione ad atti arbitrari eccedenti il limite delle funzioni del pubblico ufficiale (),C
,. in luogo pubblico o aperto al pubblico (),. in luogo pubblico,. ovunque,A
,. sia il pubblico ufficiale che l'incaricato di un pubblico servizio (),. chiunque,. solo il pubblico ufficiale,A
,. Onore del pubblico ufficiale,. Onore e prestigio del pubblico ufficiale (),. Dignità del pubblico ufficiale,B
,. condizionare il futuro operato del pubblico ufficiale (),. ostacolare il compimento di un atto del pubblico ufficiale,. ledere la dignità del pubblico ufficiale,A
,. la violenza o minaccia è diretta all'adozione di un atto d'ufficio,. la violenza o minaccia è diretta ad ottenere un atto contrario ai doveri d'ufficio (),. la violenza o minaccia è diretta a far omettere un atto d'ufficio,B
,. opporsi al compimento di un atto d’ufficio (),. costringere il pubblico ufficiale a compiere un atto d’ufficio,. costringere il pubblico ufficiale ad omettere un atto d’ufficio,A
,. risarcisce il danno a favore dell’ente pubblico,. il reo prima del giudizio risarcisce integralmente il danno a favore del pubblico ufficiale offeso e della Pubblica Amministrazione (),. si scusa pubblicamente,B
Domanda 181 Qual è il bene giuridico tutelato nei delitti contro l’amministrazione della giustizia?,". L’interesse all’acquisizione della notizia criminosa da parte dell’Autorità Giudiziaria, affinché la stessa sia messa in condizione di esercitare mente l’azione penale ()",. L’interesse che la procedura di notificazione venga mente eseguita da parte del soggetto incaricato,. L’interesse a che l’imputato non menta nel corso dell’interrogatorio,B
Domanda 182 Quali possono essere i soggetti attivi dei delitti contro l’amministrazione della giustizia?,. I reati contro l’amministrazione della giustizia sono stati depenalizzati,". Essendo reati propri, soltanto determinati soggetti che per le funzioni svolte sono posti in particolare relazione con l’interesse tutelato, ovvero pubblico ufficiale ed incaricato di pubblico servizio",". Qualunque soggetto, trattandosi di reati comuni ()",C
"Domanda 183 Il dolo rappresenta il normale criterio dell’imputazione soggettiva. Componenti proprie dell’elemento psicologico del dolo sono rappresentazione e volontà, in ordine alle quali è corretto affermare che...",". La sufficienza dello stato di dubbio, ai fini dell’esistenza del dolo, è da escludere laddove la norma esiga la piena conoscenza di uno o più elementi del fatto di reato ()",. Il dolo non è previsto dal nostro ordinamento giuridico,. In ogni caso è sufficiente lo stato di dubbio per la configurazione del dolo,A
Domanda 184 Quale titolo del Libro II del codice penale è dedicato ai Delitti contro l’Amministrazione della Giustizia?,. Titolo III (),. Titolo II,. Titolo I,A
Domanda 185 Quando si configura il delitto di omessa denuncia di reato da parte del cittadino?,". Nel caso di delitto contro la personalità dello Stato, per il quale la legge stabilisce l’ergastolo ()",. Sempre,. Mai,A
Domanda 186 La nozione di Pubblico Ufficiale da quale articolo è fornita?,. Art. 359 c.p.,. Art. 357 c.p. (),. Art. 360 c.p.,B
Domanda 187 Il dolo è specifico quando...,". Oltre alla previsione e volontà di tutti gli elementi che compongono il reato, è necessario che l’agente si sia prefisso anche un fine ulteriore ()",. È sufficiente una previsione generica degli elementi costitutivi del fatto di reato,. Non esiste questa particolare forma di dolo,A
Domanda 188 Il dolo è generico...,. Non esiste questa particolare forma di dolo,". Quando ai fini della punibilità, è sufficiente che l’agente abbia previsto e voluto tutti gli elementi che compongono il reato ()",". Quando oltre alla previsione e volontà di tutti gli elementi che compongono il reato, è necessario che l’agente si sia prefisso anche un fine ulteriore",B
,. Sono quei reati per il quale la legge richiede una speciale qualifica del soggetto attivo. Essi a loro volta si distinguono in reati propri esclusivi e reati propri non esclusivi (),. Sono quei reati per i quali la legge non richiede nessuna speciale qualifica del soggetto attivo,. Non esiste questa tipologia di reati,A
Domanda 190 L’art. 361 c.p. contempla un’aggravante di carattere soggettivo?,". Sì, al secondo comma, prevedendo che se il colpevole è un ufficiale o un agente di polizia giudiziaria che ha avuto notizia di un reato del quale doveva fare rapporto, la pena è della reclusione fino a due anni ()",. L’art. 361 c.p. non contempla nessuna aggravante di carattere soggettivo,". Sì, al secondo comma, prevedendo che se il colpevole è un ufficiale o un agente di polizia giudiziaria che ha avuto notizia di un reato del quale doveva fare rapporto, la pena è della reclusione fino ad un anno TEST",A
Domanda 191 – Qual è l’oggetto materiale su cui incidono le condotte criminose descritte nel Capo III del Titolo VII del Libro II del Codice Penale?,Nessun oggetto materiale,La persona,Il documento (),C
"Domanda 192 – Cosa si intende, secondo l’orientamento prevalente, per fede pubblica?",La fiducia riposta nell’Autorità Giudiziaria nell’ambito di un procedimento penale,La fiducia che la collettività ripone nelle istituzioni democratiche,Si intende la fiducia che la collettività ripone in determinati oggetti o simboli sulla cui veridicità deve potersi fare affidamento per rendere più sicuro ed affidabile il traffico giuridico ed economico (),C
"Domanda 193 – L’art. 476 c.p., sanzionando la condotta del P.U. che commette falsità materiale in atti pubblici…",Descrive una fattispecie di reato comune,Tale fattispecie non è prevista dal c.p.,Descrive una fattispecie di reato proprio (),C
"Domanda 194 – Il pubblico ufficiale, che, nell’esercizio delle sue funzioni, contraffa o altera certificati o autorizzazioni amministrative [...] è responsabile del delitto di…",Falsità materiale commessa dal pubblico ufficiale in certificati o autorizzazioni amministrative (),Peculato,Concussione,A
"Domanda 195 – Il pubblico ufficiale, che, nell’esercizio delle sue funzioni, forma un atto falso o altera un atto vero, è responsabile del reato di…",Falsità ideologica commessa dal Pubblico Ufficiale in atti pubblici,Non viene commessa nessuna fattispecie di reato,Falsità materiale commessa dal pubblico ufficiale in atti pubblici (),C
"Domanda 196 – Il pubblico ufficiale, che, nell’esercizio delle sue funzioni, supponendo esistente un atto pubblico o privato, ne simula una copia e la rilascia in forma legale [...] è responsabile del delitto di…",Peculato,Falsità materiale commessa dal pubblico ufficiale in copie autentiche di atti pubblici o privati e in attestati del contenuto di atti (),Falsità materiale commessa dal Pubblico Ufficiale in atti pubblici,B
"Domanda 197 – Il pubblico ufficiale, che, ricevendo o formando un atto nell’esercizio delle sue funzioni, attesta falsamente che un fatto è stato da lui compiuto [...] è responsabile del delitto di…",Concussione,Falsità materiale commessa dal Pubblico Ufficiale in atti pubblici,Falsità ideologica commessa dal pubblico ufficiale in atti pubblici (),C
Domanda 198 – La nozione di Pubblico Ufficiale da quale articolo è fornita?,Art. 360 c.p.,Art. 359 c.p. (),Art. 357 c.p.,B
Domanda 199 – Il delitto di falsità materiale commessa dal Pubblico Ufficiale in atti pubblici da quale articolo è previsto?,Art. 478 c.p.,Art. 476 c.p. (),Il codice penale non contempla tale fattispecie di reato,B
Domanda 200 – Nel falso materiale il documento…,"È manomesso nella sua essenza materiale, ovvero nella sua genuinità ()",È pienamente autentico,"Pur provenendo dal soggetto che risulta esserne l’autore, contiene dichiarazioni menzognere",A
